Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-06-02,2014,6,2,Monday,22,2014-22,312.59,312.6,307.0,308.84,2203400,308.84,-0.011870073908099465,305.10071428571433,316.98120000000034
2014-06-03,2014,6,3,Tuesday,22,2014-22,305.75,307.92,305.07,307.19,2379200,307.19,-0.005342552506311993,305.28285714285715,315.91260000000034
2014-06-04,2014,6,4,Wednesday,22,2014-22,306.85,309.5,303.84,306.78,2107100,306.78,-0.0013346907739537617,305.9371428571429,315.0112000000003
2014-06-05,2014,6,5,Thursday,22,2014-22,308.1,327.94,306.9,323.57,7796700,323.57,0.05472980185061194,307.9642857142857,314.38840000000033
2014-06-06,2014,6,6,Friday,22,2014-22,325.0,330.88,324.93,329.67,5244000,329.67,0.018852198799140796,310.2478571428572,314.11360000000036
2014-06-09,2014,6,9,Monday,23,2014-23,331.57,333.0,325.65,327.5,3212200,327.5,-0.006582380378402419,312.44357142857143,313.89420000000035
2014-06-10,2014,6,10,Tuesday,23,2014-23,327.65,335.5,327.5,332.41,3663400,332.41,0.014992377594227113,314.67357142857145,313.7766000000003
2014-06-11,2014,6,11,Wednesday,23,2014-23,336.0,340.72,333.88,335.2,4436800,335.2,0.008393274914066273,316.83,313.75320000000033
2014-06-12,2014,6,12,Thursday,23,2014-23,335.55,335.55,324.66,325.91,4276300,325.91,-0.027714821618753493,318.33,313.4116000000003
2014-06-13,2014,6,13,Friday,23,2014-23,327.05,329.3,323.53,326.27,2764800,326.27,0.0011045544706129728,319.33214285714286,313.09780000000035
2014-06-16,2014,6,16,Monday,24,2014-24,324.86,328.69,323.52,327.62,2449800,327.62,0.004137696230035681,320.53214285714284,312.97780000000034
2014-06-17,2014,6,17,Tuesday,24,2014-24,327.54,331.34,325.23,325.62,2924100,325.62,-0.006104633507746149,321.63642857142855,313.0302000000004
2014-06-18,2014,6,18,Wednesday,24,2014-24,328.0,335.75,325.0,334.38,6401500,334.38,0.026902554809241197,323.10785714285714,313.3626000000003
2014-06-19,2014,6,19,Thursday,24,2014-24,335.26,338.9,325.98,327.0,5320600,327.0,-0.022070712288549954,324.14,313.36120000000034
2014-06-20,2014,6,20,Friday,24,2014-24,327.76,328.22,320.42,324.2,6054000,324.2,-0.00856265380112764,325.2371428571428,313.2090000000004
2014-06-23,2014,6,23,Monday,25,2014-25,323.33,327.55,321.41,327.24,2604800,327.24,0.009376859694263162,326.6692857142857,313.41160000000036
2014-06-24,2014,6,24,Tuesday,25,2014-25,327.54,329.73,322.74,324.16,2626600,324.16,-0.009412011563928013,327.9107142857143,313.6602000000004
2014-06-25,2014,6,25,Wednesday,25,2014-25,324.33,328.15,321.74,327.44,2327800,327.44,0.010118456139690313,328.1871428571429,313.89080000000035
2014-06-26,2014,6,26,Thursday,25,2014-25,328.49,328.65,322.13,325.69,2699500,325.69,-0.0053444905538477805,327.9028571428571,314.08300000000037
2014-06-27,2014,6,27,Friday,25,2014-25,325.88,326.52,323.27,324.57,2416200,324.57,-0.0034388378789398377,327.6935714285714,314.1008000000004
2014-06-30,2014,6,30,Monday,26,2014-26,324.98,326.98,322.24,324.78,2671300,324.78,0.0006469835485087838,327.14857142857136,314.0982000000004
2014-07-01,2014,7,1,Tuesday,26,2014-26,325.86,333.2,325.1,332.39,3173600,332.39,0.02343129471563299,326.9478571428571,314.12860000000035
2014-07-02,2014,7,2,Wednesday,26,2014-26,333.2,336.76,331.66,332.85,2681300,332.85,0.001383890715142666,327.44357142857143,314.19920000000036
